idno,litter_size,number_male,number_female,sire
568,2,1,1,889
556,7,3,4,285
681,4,1,1,2785
606,7,3,3,5384
653,10,1,8,27
580,6,3,3,1238
632,6,2,4,930
585,5,1,4,5293
644,10,5,4,1544
578,7,5,2,1436
574,10,5,5,5337
652,2,1,0,601
628,3,1,2,1237
610,7,4,3,3396
616,3,1,2,832
559,10,8,2,1237
620,5,3,2,5721
640,5,1,3,2785
555,4,1,3,82
669,2,1,0,2786
560,9,5,4,995
625,3,2,1,2104
575,5,2,3,4349
636,10,4,5,2428
624,1,0,1,2333
612,1,1,0,3304
682,11,5,4,3590
562,2,0,2,4844
602,12,8,4,3304
643,15,8,6,758
601,12,6,6,283
660,2,1,0,342
678,6,3,1,2348
586,2,1,1,1237
659,6,3,2,216
563,6,1,5,1435
588,3,3,0,2426
630,2,2,0,173
633,9,5,3,5399
592,7,4,3,5389
674,8,3,4,996
672,9,6,2,1012
646,10,2,7,519
600,3,2,1,1961
627,2,2,0,3540
651,6,2,3,442
603,10,5,5,832
667,3,2,0,2786
611,2,0,2,6041
579,9,6,3,1238
572,7,2,5,832
666,4,1,2,2086
638,9,4,4,595
613,5,0,5,5587
673,10,5,4,408
655,7,3,3,2885
639,7,2,4,408
641,5,1,3,3878
590,5,2,3,4579
609,9,6,3,3845
654,6,5,0,3590
618,2,1,1,6041
680,7,2,3,3108
645,8,4,3,4055
675,11,5,4,5869
676,8,3,3,5869
656,4,2,1,1447
561,9,5,4,2785
566,7,2,5,1012
658,4,3,0,1435
617,11,8,3,5334
671,5,2,2,3510
584,9,6,3,1311
558,5,2,3,832
635,9,2,6,285
615,2,1,1,5399
684,9,4,3,1005
595,8,3,5,595
664,4,2,1,832
661,3,0,2,3590
576,8,4,4,1834
691,10,0,1,832
623,4,1,3,2426
663,8,2,5,3065
621,2,1,1,2704
631,5,4,1,4579
573,4,2,2,82
679,11,7,2,2426
637,10,5,4,2274
581,6,3,3,832
662,6,3,2,6041
650,7,4,2,1961
626,4,3,1,2932
689,10,3,1,1012
565,7,5,2,1961
582,9,6,3,82
665,7,2,4,4006
649,4,2,1,1572
570,6,4,2,4343
668,6,2,3,5334
688,9,1,4,4055
657,5,2,2,3061
583,6,4,2,832
677,8,3,3,2105
593,7,1,6,1544
587,5,3,2,3108
647,9,5,3,2916
642,11,5,5,1906
577,7,3,4,832
686,9,5,1,1544
634,7,2,4,2428
569,3,0,3,5399
806,2,1,1,2815
801,4,1,3,329
775,4,3,1,2716
699,4,2,2,1017
740,4,1,3,3106
756,4,1,3,2705
703,5,2,3,331
796,6,1,5,2994
853,4,2,2,711
716,3,2,1,2797
881,5,1,2,542
743,2,2,0,456
708,3,1,2,339
845,4,3,1,2912
793,6,5,1,1076
850,4,2,2,4442
883,8,1,0,1429
777,4,2,2,1689
830,6,4,2,629
852,6,3,3,2705
866,7,2,4,2473
877,6,3,1,2563
707,6,6,0,1390
813,6,1,2,2579
722,2,0,2,2563
772,1,0,1,2918
867,5,1,3,727
723,9,4,5,330
721,6,3,3,273
713,5,3,2,2716
849,4,3,1,3632
847,4,3,1,2912
863,5,2,2,2569
812,4,2,2,2473
872,4,1,2,330
733,4,2,2,753
843,6,3,3,2705
807,4,4,0,2459
774,2,1,1,711
732,4,3,1,66
876,2,1,0,3199
838,3,2,1,2338
736,4,1,3,4354
831,5,3,2,3202
747,3,1,2,2038
778,3,2,1,2912
846,5,3,2,2473
862,4,0,3,2912
770,2,2,0,2798
789,5,4,1,330
785,5,1,4,3949
718,5,2,3,3631
821,7,5,2,2730
705,5,2,3,3632
815,4,1,3,1073
822,4,3,1,331
790,5,3,2,330
875,7,3,3,2797
861,5,2,2,908
712,4,2,2,1611
880,6,1,3,1673
748,5,3,2,3535
808,7,3,4,1852
701,7,3,4,1971
725,5,2,3,929
829,2,1,1,4275
791,4,2,2,2705
709,3,1,2,1446
704,4,1,3,2730
811,7,2,5,2705
764,10,6,4,2638
728,5,3,2,646
803,4,3,1,3632
752,2,1,1,1559
859,4,2,2,1533
749,4,2,2,2771
739,5,3,2,354
857,5,3,2,4129
869,3,1,1,1606
760,1,1,0,4442
832,5,1,4,1689
754,3,2,1,1611
817,5,2,3,330
795,5,2,3,2705
766,4,3,1,2912
837,3,2,1,952
816,8,4,4,2994
842,5,3,2,2377
781,3,2,1,2705
840,6,3,3,275
715,2,1,1,3631
776,3,1,2,2716
788,6,4,2,5602
882,7,1,3,2445
870,6,3,2,1814
787,7,1,6,331
694,6,2,4,1816
856,5,2,3,4129
737,7,6,1,2912
865,6,4,1,1429
692,3,2,1,1816
783,5,1,4,634
873,4,2,1,1446
769,4,3,1,2771
695,6,3,3,2716
700,4,3,1,3382
860,4,2,1,3535
720,4,2,2,1446
730,3,1,2,2447
735,5,2,3,3535
698,1,0,1,2638
714,5,1,3,753
858,3,1,2,1578
820,7,6,1,330
864,6,3,2,4275
757,5,3,2,275
763,3,1,2,5602
741,5,2,3,2716
844,3,1,2,1852
823,6,4,2,277
771,4,1,3,1154
761,5,1,4,2797
854,3,1,2,2038
805,3,2,1,2038
767,6,3,3,753
839,4,2,2,1673
825,4,2,2,3097
814,6,4,2,3631
753,5,2,3,331
731,4,2,2,3382
802,4,2,2,3097
727,4,3,1,124
800,6,3,3,1446
768,6,4,2,2912
810,7,1,6,273
726,3,1,2,2912
798,3,1,2,2716
828,4,3,1,542
855,2,1,1,1315
878,6,1,3,4275
818,6,4,2,2716
729,4,4,0,4275
758,6,3,3,1965
851,1,0,1,1538
819,1,1,0,2746
724,6,4,2,5626
841,4,2,2,3631
824,7,5,2,330
809,5,2,3,3080
834,7,4,3,423
799,3,1,2,339
711,6,2,4,4275
827,7,3,4,2473
773,4,2,2,369
697,3,1,2,1427
833,4,0,4,4129
848,2,1,1,1533
696,6,6,0,1816
786,7,5,2,3632
693,4,3,1,1816
782,5,3,2,4275
745,5,2,3,2569
874,5,2,2,2705
759,4,2,2,2912
710,5,4,1,2569
804,6,1,5,2445
717,4,3,1,3382
734,3,1,2,3632
797,7,6,1,929
779,6,0,6,4275
794,3,1,2,3631
755,3,1,2,2716
719,4,1,3,3535
765,3,2,1,3632
826,6,4,2,339
868,7,4,2,2772
706,5,1,4,2912
792,3,1,2,4758
871,6,0,5,4442
784,6,3,3,952
744,6,3,3,4129
702,4,2,2,1065
762,5,1,4,2918
746,6,3,3,2994
738,5,1,4,1236
780,4,2,2,369
836,3,2,1,711
835,6,1,5,4275
750,2,1,1,753
742,5,1,4,2912
879,4,0,2,2716
751,5,2,3,2716
5766,5,2,3,653
5706,6,3,3,2565
5708,3,1,2,2940
5753,9,6,3,2888
5762,4,3,1,3886
